# results in neutron matter from I. Tews et al., PRL 110, 032504 (2013)
# n[fm^-3]	E_low[MeV]	E_up[MeV]     	P_low[MeV fm^-3]	P_up [MeV fm^-3]
0.04		5.3773		6.48977		0.0999978		0.159073
0.06  	    6.29886		8.38431		0.206098 		0.355056
0.08  		7.28415 	10.2734		0.373566 		0.661552
0.1  		8.55565 	12.3788		0.631043		1.1072
0.12  		9.98428 	14.7283		1.01322			1.72158
0.14 		11.7294 	17.3879		1.56017			2.53477
0.16 		13.4456 	20.1195		2.31691			3.57724
0.18 		15.4043 	23.0449		3.33308			4.87967
0.2 		17.5251		26.0071		4.6627			6.47296

