l0,l1,fidelity,cs0,cs1
1,0,0.9925,0,0
2,1,0.9907,0,0
3,4,0.9962,0,0
3,2,0.9912,0,0
4,15,0.0,0,0
5,4,0.9901,0,0
5,6,0.9934,0,0
6,7,0.9947,0,0
7,8,0.9817,0,0
8,16,0.9904,0,0
9,8,0.9857,0,0
9,10,0.987,0,0
11,10,0.9927,0,0
11,12,0.9973,0,0
13,12,0.9943,0,0
14,0,0.9887,0,0
14,18,0.9863,0,0
16,26,0.9939,0,0
17,12,0.9896,0,0
19,18,0.9939,0,0
19,20,0.9964,0,0
20,33,0.9866,0,0
21,20,0.9955,0,0
21,22,0.9964,0,0
22,15,0.8244,0,0
23,22,0.9966,0,0
24,23,0.995,0,0
25,24,0.9905,0,0
26,25,0.9941,0,0
26,27,0.9935,0,0
28,27,0.9947,0,0
28,35,0.9935,0,0
29,28,0.9927,0,0
30,29,0.996,0,0
30,17,0.9906,0,0
31,30,0.9938,0,0
31,32,0.9967,0,0
34,43,0.9952,0,0
34,24,0.9937,0,0
35,47,0.9741,0,0
36,32,0.9954,0,0
38,39,0.9961,0,0
38,37,0.9957,0,0
39,33,0.9887,0,0
39,40,0.9741,0,0
40,41,0.9869,0,0
41,42,0.9955,0,0
43,44,0.9958,0,0
43,42,0.9952,0,0
44,45,0.9956,0,0
46,45,0.9958,0,0
47,46,0.995,0,0
48,49,0.9891,0,0
48,47,0.9938,0,0
50,49,0.9915,0,0
51,50,0.9918,0,0
51,36,0.9946,0,0
52,37,0.9916,0,0
52,56,0.9929,0,0
53,60,0.9925,0,0
53,41,0.9899,0,0
54,64,0.9833,0,0
54,45,0.9934,0,0
55,49,0.9883,0,0
55,68,0.9934,0,0
57,56,0.9888,0,0
58,59,0.9909,0,0
58,57,0.9956,0,0
59,60,0.9905,0,0
60,61,0.982,0,0
62,72,0.9898,0,0
62,63,0.9907,0,0
62,61,0.9874,0,0
64,63,0.9944,0,0
65,66,0.9665,0,0
65,64,0.9853,0,0
66,73,0.979,0,0
66,67,0.9859,0,0
68,67,0.9921,0,0
69,68,0.9937,0,0
70,69,0.9914,0,0
70,74,0.984,0,0
71,77,0.9967,0,0
71,58,0.9957,0,0
74,89,0.9841,0,0
75,76,0.9886,0,0
76,77,0.9937,0,0
77,78,0.9963,0,0
79,78,0.9956,0,0
80,81,0.9941,0,0
80,79,0.9926,0,0
81,72,0.9922,0,0
82,83,0.9904,0,0
82,81,0.9934,0,0
83,84,0.9942,0,0
85,73,0.9795,0,0
85,86,0.9854,0,0
85,84,0.9941,0,0
86,87,0.9888,0,0
87,88,0.9839,0,0
87,93,0.9911,0,0
89,88,0.992,0,0
90,75,0.994,0,0
91,98,0.9937,0,0
91,79,0.9921,0,0
92,83,0.9844,0,0
94,90,0.99,0,0
94,95,0.9949,0,0
96,109,0.9901,0,0
96,95,0.995,0,0
97,96,0.9953,0,0
97,98,0.9953,0,0
98,99,0.9918,0,0
100,110,0.991,0,0
100,99,0.9838,0,0
101,100,0.9958,0,0
101,102,0.9887,0,0
102,92,0.996,0,0
103,102,0.9821,0,0
103,104,0.9879,0,0
104,105,0.9547,0,0
106,107,0.9885,0,0
106,105,0.9933,0,0
106,93,0.9941,0,0
108,107,0.9846,0,0
108,112,0.9793,0,0
109,114,0.9949,0,0
110,118,0.9901,0,0
111,104,0.9664,0,0
114,113,0.9958,0,0
115,114,0.9922,0,0
115,116,0.9856,0,0
116,117,0.9949,0,0
118,119,0.9889,0,0
118,117,0.9938,0,0
120,119,0.0,0,0
121,120,0.0,0,0
122,111,0.994,0,0
122,121,0.9924,0,0
123,122,0.9893,0,0
123,124,0.9786,0,0
124,125,0.9807,0,0
126,125,0.9927,0,0
126,112,0.9941,0,0
